category,last_replier,poster,replies,text,topic,views
Pests and diseases,Pinkham,malaqias,9,"I've just noticed that my ligustrum is showing some white &quot;dust&quot; on the roots and nebari. could this be some kind of root fungus or even root rot?
the tree is looking rather healthy with a lot of...","could this be root rot, or fungus? (Ligustrum)",3217
Pests and diseases,hein,hein,3,"Hey there.

Attached is a pic of my new Ficus I bought. The leaves are yellow. Is that a problem and if it is, what is it and how can I fix it. The leafs are the same shape as the benjamina.",Ficus Help,1500
Pests and diseases,dragon,llinneman,1,"I bought a Serissa a few weeks ago, and in that time moss has covered almost all of the trunk and branches. I am new to bonsai, but this doesn't seem right. Can anyone tell me what I have going on?...",HELP  Moss growing on all the branches,1292
Pests and diseases,BassandBonsai,,4,,Bugs are Every Where!,1603
Pests and diseases,Leslie,Keiko,5,"Hello, all!

I am a beginner. I bought a bonsai tree and after reviewing pictures of different kinds, I think it is a Juniper. After about 2 months, the leaves are yellowing and there are little...",Cobwebs on Juniper,5056
Repotting and soil,Leslie,Pinkham,22,"This is a limelight hydrangea I got last fall at home depot. I root pruned and repotted it last week because it was so root bound.
It has all kinds of new buds on it now, so I assume it didn't mind....",limelight hydrangea,9394
Watering and fertilizing,Ramiro,skubicka2,8,"Hi all,

I have a juniper bonsai that was on the verge of death recently but has slowly been doing better.

I was told to fertilize with Seasol but I can't find it anywhere!

k
Are there any other...",Juniper Bonsai Fertilizers,11k
Watering and fertilizing,dsdevries,oneday21,10,"Hello Im looking for some advice on what I think is a overwatering accident which made the new leaves on most of the new shoots wilt and droop on my 8 month old azalea, 4 days have passed two have...",overwatering,4972
Watering and fertilizing,kittyvlekkie,kittyvlekkie,0,"today i am getting my liquid fertiliser 10-0-0, 0-10-0, 0-0-10 and wondered how much has to putin(pun right here) to how much water, for example 10 ml in 3 litres. ofcourse i'll mix them up so i get...",fertilisation ratio's,1456
Watering and fertilizing,manofthetrees,Wiseman84,5,"Good afternoon,

I've added some greenery to my office cube, my first pothos ivy. The ivy sits underneath a fluroescent tube light 2 feet above it for around 6 hours until I leave. I usually place it...",Golden Pothos - Office Lighting/Watering Questions,1885
Watering and fertilizing,Leslie,Patti,7,"I would love to try a shohin but I do not know how to water and fertilize them.

it there a web site I can go to?",shohin,2135
Watering and fertilizing,celloninja42,celloninja42,5,I noticed today that my bonsai is startng to have some white on the bottom of the trunk. is this something i should be worried about? could it be from watering too much??,white on the trunk from....??,8779
Watering and fertilizing,oneday21,oneday21,2,"I have a possibly stupid question, about how much granule type fertilizer to use particularly for azaleas. When considering the ratio on the back of the bag or bottle of your average brand, it doesnt...",ratio,1416
Watering and fertilizing,manofthetrees,Shadow Rhelm,16,"Hello everyone !

Nice to be here. I am a new Bonsai Mommy. I got my Bonsai as a Mothers day gift. I had been reading on Bonsai for a long time and talking about it for some time and apparently my...","Hello, I am a new Juniper Bonsai Mommy",7367
Watering and fertilizing,manofthetrees,morpheus83uk,23,"Hello,

I have been told to use the rain water which is fine and dandy however I was thinking what happens in summer when we have no rain?

Could I use normal tap water and leave it out for 24 hours...",Rainwater?,9311
Watering and fertilizing,cleaner626,morpheus83uk,6,"Hello,

I have had a read through and found that fertalizers are good for my little bonsai... However I am reading that diffrent NPK levels have diffrent effects on the Bonsai...

Could anyone...",NPK???,3078
Watering and fertilizing,joncoh101,linda,6,should i cover my outdoor bonsai trees from rain,water,2055
Current competition,,,,,,
Current competition,bob,Gowing,2,"Hi, been trying to upload pic for a white but keeps telling me that it not spelt right though I'm on the page???????

anyone else having probs????

thanks",The site,3095
Current competition,RedHot,,46,"Herewith we invite all to participate in an online competition in trunk-fusion bonsai! An idea put forward by one of our active members, Leatherback. Thanks!

Trunk fusion?
The starting point of any...",Bonsai Empire competition “Trunk fusion”,17k
Bonsai cafe,sai,malaqias,9,"As i mentioned in my introduction yesterday, i have a small collection of cactus and what not and i'd like to share them with you.

Here are some pictures taken today:

1st-This guy is one of the...",Cactus and other,10.5k
Bonsai cafe,,Pinkham,2,Did anyone else come here earlier today and see the served hacked message?,,10.6k
Bonsai cafe,malaqias,,4,"We decided to significantly expand the profiles section, and also installed a personal messaging system.

Please take the time to:
- Upload your new avatar (sorry, these couldn't be exported_
- Update...",Community expanded functionality,10.3k
Bonsai cafe,Leslie,,10,,,3614
Bonsai cafe,Leslie,,22,"Let me begin with saying: Thanks for your visit!

I sincerely hope you like our new website, in terms of design but mostly in terms of the articles and galleries we've added!

Please let us know...",Our new website,6397
Bonsai cafe,Youri1995,,1,"From now on, polling is enabled in this category of the forum (the Bonsai Cafe).

How? When making a new topic, click on the red-blue-green image &quot;Poll&quot;!

Enjoy :)",Add a poll to your post,1573
Bonsai cafe,malaqias,malaqias,3,"I'm sorry that i keep on posting stuff about my plants that are not bonsai, but i felt like sharing then with the community.

These 3 plants are: 2 dionaea(1 adult and 1 young) and 1 drosera...",my brand new Carnivorous Plants,10.9k
Bonsai cafe,Leslie,Spidercrab,3,Good evening to all my friends on Bonsai Empire. I apologise for being away for so long:huh: :huh:,Saying Hi,10.6k
Bonsai cafe,Youri1995,mitch,1,":( I have to figure out how to say hello to the rest of you.Iknow how little i know about computers,but i will learn.Ihope someone sees this and guides me in the proper way to introduce myself on this...","new to computers,some small knowledge of Bonsai",1394
Bonsai cafe,Pinkham,,2,"Im checking to see if the forum users (you guys!) use the RSS function.

I never use those RSS feeds, so Im thinking about disabling that function, unless other people do in fact use it :)",Poll: do you use RSS here?,1248
Bonsai cafe,Pinkham,Pinkham,3,"For the past week or so I have been trying to update my profile and for some reason nothing is happening. I have tried 4 or 5 times. I can't add any information. it's kind of driving me crazy, and...",editing profile,1308
Bonsai cafe,BassandBonsai,,6,"Hi everyone,

I want to say a big thanks to everyone making this forum active, it was pretty difficult to get it started but it is now becoming more crowded and active with many different users with...",Thank You!,1338
Evolve,Madartej21,Orlando,5,"At the NBS in Hazerswoude-dorp in the Netherlands, the Bonsai Association Apeldoorn has won a lot of prizes,
my tree included. A nomination and the audience award. A special moment for me, because at...",4 years training of a Juniperus chinensis,254
Evolve,Clicio,Clicio,11,"This is a list to help beginners and intermediate students of bonsai.
PLEASE feel free to contribute, I am sure many will have good literature to suggest.

BASIC - Level 0 
BEFORE even thinking about...",Bonsai books - A basic list,422
Evolve,tubaboy,tubaboy,3,"I was wondering if any of you have experience with thread grafting. How easy is it? does it work on most decidous species? If you've done it multiple times, any special ideas as to how to be more...",Thread grafting,279
Evolve,alainleon1983,Auk,1,"Horse chestnuts are not the best subjects for bonsai due to their huge leaf size.
However, the leaf size can be reduced. Also...chestnuts are free :)

I have three of 'm, grown from seed. One of them...",Chestnut leaf size reduction,414
Evolve,tubaboy,tubaboy,8,"I have an acer that I am begining to train as a bonsai... from what I have read, moss can aid in the production of nebari, as well as help the roots grow stronger and better near the soil surface....",moss,1334
Evolve,spacewood,leatherback,6,"In another post there was some initial discussion on Tanuki (https://en.wikipedia.org/wiki/Deadwood_bonsai_techniques)

In an open discussion I would like to ask.. Is this a bad thing?

My view:...",To Nuki or not Tanuki?,1464
Evolve,Clicio,Clicio,13,"As seen in Omiya Bonsai Village.
I was stunned!",Let's talk about deadwood?,1579
Evolve,m5eaygeoff,,16,"Hello there,

I wanted to share this Pinus Sylvestris evolution, belonging to one of our Bonsai Club members, with you. But first, backgrounds... This pine was collected back in 2013 in Spain...",Pinus Sylvestris Evolution,1513
Evolve,m5eaygeoff,m5eaygeoff,3,"I am going to the show at Saulieu for the first time with three friends this year, any of you guys going? We will be wearing our Blackmore Vale Bonsai Group shirts with the logo, so if you see us say...",Show at Saulieu,198
Evolve,tubaboy,tubaboy,3,I have a prevet that I missed the Ball on repotting this spring. it is so root bound I almost had to cut the roots to get it out of the pot. any tips on after care other than avoiding direct sunlight?...,Emergency repots after care,216
Evolve,Madartej21,Auk,3,"Like probably many of us, I try to grow moss. This appeared to work pretty good:

1. A shallow tray
2. A layer of sand
3. Treebark chips on top

I did not even add moss or spores,the moss just started...",Growing moss,350
Evolve,tubaboy,m5eaygeoff,17,"I don't know about the rest of Europe,or elsewhere, and obviously there are variations, but I have not watered my trees since about October. They are just not drying out. We have had so much rain in...",when did you last have to water,1571
Evolve,Mimo,Mimo,15,"Hi lads, I will add some pics in here of my latest acquisitions I collected over last few days and will collect in coming days as I took a holiday especially for collection new trees :P
I am looking...",Mimo´s yamadori 2018,1720
Evolve,spacewood,Clicio,10,"I am very grateful to all members of this forum; just by reading old and new posts from auk, leatherback, m5eaygeoff, mimo, manofthetrees, samantha, oscar, just to name a few, I progressed 5 years in...",A post of gratitude,1558
Evolve,leatherback,Auk,5,"Interesting idea but... When I go to the forum I always look at the most recent posts. Also, this is a category, not a separate section with categories for the regulars?

Still... It is a start....",Testng...,1226
Evolve,m5eaygeoff,,8,"This category is accessible to all, but for now only the most active members of the forum can post in it. This way we offer active posters a private area for discussions.

In a few weeks time we'll...",Evolve - private area,1236
Bid and Sell,Dekeijzer,Dekeijzer,12,"Good day everyone

I'm new to this forum so I will briefly introduce myself.
My passion for sculpting and ceramics brought me here.
This summer I met a friend from the UK who has a passion for Bonsai....",Unique raku fired Bonsai pots,7253
Bid and Sell,manofthetrees,Pinkham,4,"I don't know if this is even allowed here but I'm putting it out there to see if there is any interest.
I have a few obsessions...One is bonsai and another is online plant trading. It's a lot of fun....",trading ?,3179
Bid and Sell,leatherback,le_beetle,1,"Expressions of Interest: Rare 5 way cascading juniper, over 20 years old.

Would anyone know how much this rare bonsai would be valued at?

Would anyone be interested in owning this bonsai?

Your...",Expressions of Interest: Rare 5 cascading Juniper,6557
Bid and Sell,Pinkham,bonsaitrader.net,5,"Introducing www.bonsaitrader.net - a global website dedicated to art and passion which is bonsai, by bonai enthusiasts for bonsai enthusiasts - post free classified ads for all things bonsai, from...","Buy, Sell & Trade  at www.bonsaitrader.net",13.2k
Bid and Sell,jb carlos,cleaner626,3,"who wants to buy my feature bonsai? Philipines area i have a collection of bonsai with several specis ficus,bogainvilla and other tropical tree and srubs just contuct me if interested.. or",for sale tropical bonsai,10.2k
Bid and Sell,leatherback,le_beetle,1,"Expressions of Interest: Informal upright Juniper, over 50 years old.

Would anyone know how much this bonsai would be valued at?

Would anyone be interested in owning this bonsai?

Your thoughts...",Expression of Interest: 50 yo upright juniper,7162
Bid and Sell,manofthetrees,KorinavdHek,1,"Hi everyone!
I'm looking for a satsuki variety yata-no-kagami, preferably in Holland or nearby Europe (Belgium, Germany, ..)
Doesn't have to be a full size bonsai.
Please share with me the adresses or...",Satsuki variety Yata-No-Kagami,9503
Bid and Sell,Leslie,BassandBonsai,9,"I have been trying for awhile now to get a good tool set at a decent price. If anyone has any information on where to find one or where you got yours, it would be greatly appreciated. My &quot;dream set&quot;...",Tool set,12.8k
Shop reviews,Youri1995,leatherback,1,"Through ebay.de I ordered from this online store. I ordered some older (30cm / 1 foot) larix kaempferi for 4 euro's each, and yourger larix (20cm / 8 inches) for 2 euros each. Also, I ordered a prunus...",Bonsai-Schule-Schneider,3155
Shop reviews,Pinkham,,10,"Hey all,

Does anyone of you have experience with online Bonsai shops?

If you do, please create a new topic with the title: &quot;Shop-name review&quot;, this will help other people trying to figure out where...",Shop review section,7762
Related arts,Youri1995,dea,1,http://www.bbc.co.uk/news/magazine-20135674,The Last Ninja,2825
Related arts,AriadneArts,cleaner626,4,my nipew buy 2 koi...he cultivate thoes fish in a plastic water container these fish are 3&quot; long....but they going in a vcation so im the 1 who took care of it...can you give some tips about this?,cultivating koi,9511
Related arts,MWid,BassandBonsai,16,"Alright, everyone. One of the first things that I did once I realized that bonsai was, at the very least, going to become a significant hobby in my life, was purchase a bonsai guide. It's one of the...",Whimsical Penjing,15.9k
Related arts,Youri1995,dragon,1,"GDAY everyone as there is no penjing post on this site i thought i would place the first one on here to give people a different idea on different styles hope you all enjoy
cheers dean",penjing,12.3k
Related arts,,joncoh101,17,Hey guys just thought i would share some photos of todays expedition. It was a function held to celebrate Arbor day and introduce more people into Bonsai in S.A. The event was held by the Cape Town...,Pics from Arbor day at Cape Town City Gardens,15.7k
Related arts,BassandBonsai,,8,"With many thanks to Jeremy Norbury and Youri van Pinxteren, we just put our first member-contributed article online!
See: http://www.bonsaiempire.com/miscellaneous/building-bench

If you'd like to...",How to build a Bonsai table,15.1k
Related arts,kittyvlekkie,kittyvlekkie,5,"is there a moss forum which speak english or dutch and if it has to, french or german?

because i have a question about my moss, like what kind of moss is it?",is there a moss forum?,3321
Related arts,James May,James May,6,"If you are young and broke like myself this is a decent way to display your bonsai. No tools needed, and the materials cost only 17 dollars at Lowes. One day me and my father will build an epic bonsai...",$17.00 Bonsai Bench,3156
Related arts,Youri1995,Leslie,16,,Tiny Bonsai Figurines,17.3k
Related arts,Youri1995,malaqias,10,"yesterday i went to my local nursery for a visit where i bought a new tree. a 5 year old Serissa Foetida :cheer:
but the highlight were these 2 trees they had there.

1- A small apple tree
2- An...",Visit to the local nursery,15k
Related arts,Pinkham,BassandBonsai,4,"I have told you guys about my azalea seed failures in previous posts, but here is the gist of it:

They were my first bonsai purchase ever- a miniature azalea seed kit that came with a little blue...",Meika,12.3k
General,Leslie,BassandBonsai,12,"Hello everyone. I know I haven't posted in a long time, but you try taking 4 AP classes and see how it goes! Anyway, on top of alllllll the homework, I have joined the Japanese club. Attempts to...",I'm bringing bonsai to my Japanese club.,12.7k
General,Leslie,joncoh101,20,"Guys i still need to build some sort of shelving for my En at home, i want to get some ideas on how your pots housed because i dont know where to start with building appropriate shelving etc. What i...",How are your Bonsai's housed?,4549
General,Leslie,,30,,Quick Reference Guide to Bonsai Terminology!,5819
General,joncoh101,joncoh101,7,"Hey guys sorry to be posting so many photos, this is my EN and some photos of my mentor, Paul Parker's en. Finally sorted out my camera so i shall be sharing many photos with you guys! :D The photos...",My En and some of my mentor's trees.,1507
General,Leslie,Pinkham,8,"Hey kids.
I'm curious to know what U.S.D.A (hardiness) zone everyone was in, and what country you are from.
I was looking through the forum and noticed that some of us are getting ready for winter,...",U.S.D.A. zones.,1558
General,joncoh101,joncoh101,12,"Guys and girls, tell me how you got introduced to this art. I think it would be a lovely topic to discuss",How did you get into the art of Bonsai?,3794
General,,joncoh101,21,"Hey guys when was this site started? Because there are not many people on the site? I think we need to encourage people to join, like putting links up on other sites etc?",,4633
General,Leslie,,2,"Hi all!

Recently an article was added to our homepage listing 10 of the greatest Bonsai trees. Check it out and let me know if you feel something is missing.

See:...",Greatest Bonsai trees?,1462
General,COYF,pduffin,4,I'm a military member serving in Korea and was introduced to the Bonsai community while here. I had a bonsai given to me which I am taking care of and have grown fond of it. I'm being reassigned to...,International Shipping,2834
General,Youri1995,shaun,2,"Greetings one and all.
I just wanted to wish you all best wishes for the new year.. Sorry I have not been active the last 2 weeks. Been busy increasing my collection.. Crumbs this is addictive :)
May...",New Year.,1499
General,Leslie,Thedogtrainer,3,":P
So, My name is Karla, and I reside in Southeast Florida. I have always admired Bonsai from afar, but never had one.
Last year, I moved to a small loft over a warehouse, and started container...","Got Bit By Bonsai Bug....Help, I'm infected;))",1365
General,Leslie,joncoh101,27,"Hey guys here are some pics of my tree i recently dug out. Thought i would share some pics, they are not great quality as i took them with my cellphone. Be free to comment and say what you desire. :)",Wild Olive (Olea) yamadori pics,7027
General,Leslie,malaqias,3,"Last friday on a Brazillian forum i found a post about this series Lindsay Farr's Wold of Bonsai. Have you guys heard of it?

I Downloaded it from its official website( http://bonsaifarm.tv/ )....",Lindsay Farr's Wold of Bonsai Series,1641
General,joncoh101,,6,,Can This Ceramic Dish be drilled?,1994
General,Leslie,,16,"Hello Bonsai Friends,

I need some help please to understand the use of the icons above when writing a message. The smilies are working fine for me yet, I can't seem to get the B, I and colour text...",Forum How to Questions,4178
General,Youri1995,dragon,7,"hi everyone
this is to let you all know i havnt been on for a while, as i am going in for operation on spine and been getting severe pain so i havnt been doing anything regarding my tree's,but now i...",sorry,1304
General,Pinkham,manofthetrees,13,"howdy y'all,

well i finally uploaded my camera and was updateing my progression so i figured hey! ill post my other trees :P

[image]...",my trees,4271
General,Youri1995,leatherback,1,"Dear All,

After registering here, I ended up on the bonsaiempire.nl website. Clearly, this is just a copy of this website. That site also has a forum. To me this seems a little unusual to have...",Seperated fora?,1396
General,Youri1995,Michel Buzz,4,"Hello Friends, Greetings!!

I'm Michel Buzz, and I'm a new plant lover to this forum. It's a very nice to meet you all and I hope to have fun on the forum while here. I have a garden and I love...",A Softy Greetings To All Emperors -- New Member !!,2254
Previous competitions,hank,harry harrington,12,"Firstly, many thanks to all of you who took the time to enter the competition and make it such a pleasure to judge.

I have managed to reduce the huge number of entries down to a shortlist of just 5;...",,8853
Previous competitions,hank,,21,"This is the place to submit your entries for the Bonsai Inspiration competition! Not the place to discuss the contest or the entries.

For information about the contest and its rules, see:...",,16.7k
Previous competitions,Youri1995,,14,"The winner of the contest has been announced!

Check it on: http://www.bonsaiempire.com/contest",,7103
